"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent
"
Asia
","253,309","+9,587","9,528",+291,"124,781","119,000","6,440",,,,,Asia
"
North America
","464,218","+34,535","15,627","+2,030","28,416","420,175","10,137",,,,,North America
"
Europe
","744,916","+34,503","61,266","+3,862","168,362","515,288","30,154",,,,,Europe
"
South America
","35,462","+4,847","1,394",+189,"3,525","30,543","1,118",,,,,South America
"
Oceania
","7,348",+118,51,+1,"3,096","4,201",91,,,,,Australia/Oceania
"
Africa
","11,986",+794,576,+41,"1,467","9,943",142,,,,,Africa
"

",721,,13,,619,89,10,,,,,
World,"1,517,960","+84,384","88,455","+6,414","330,266","1,099,239","48,092",195,11.3,,,All
China,"81,802",+62,"3,333 ",+2,"77,279","1,190",189,57,2,,,Asia
USA,"434,927","+31,935","14,788 ","+1,940","22,891","397,248","9,279","1,314",45,"2,209,041","6,674",North America
Spain,"148,220","+6,278","14,792 ",+747,"48,021","85,407","7,069","3,170",316,"355,000","7,593",Europe
Italy,"139,422","+3,836","17,669 ",+542,"26,491","95,262","3,693","2,306",292,"807,125","13,349",Europe
Germany,"113,296","+5,633","2,349 ",+333,"46,300","64,647","4,895","1,352",28,"1,317,887","15,730",Europe
France,"112,950","+3,881","10,869 ",+541,"21,254","80,827","7,148","1,730",167,"224,254","3,436",Europe
Iran,"64,586","+1,997","3,993 ",+121,"29,812","30,781","3,987",769,48,"211,136","2,514",Asia
UK,"60,733","+5,491","7,097 ",+938,135,"53,501","1,559",895,105,"282,074","4,155",Europe
Turkey,"38,226","+4,117",812 ,+87,"1,846","35,568","1,492",453,10,"247,768","2,938",Asia
Belgium,"23,403","+1,209","2,240 ",+205,"4,681","16,482","1,276","2,019",193,"84,248","7,269",Europe
Switzerland,"23,280","+1,027",895 ,+74,"9,800","12,585",391,"2,690",103,"171,938","19,867",Europe
Netherlands,"20,549",+969,"2,248 ",+147,250,"18,051","1,424","1,199",131,"101,534","5,926",Europe
Canada,"19,438","+1,541",427 ,+46,"4,548","14,463",426,515,11,"361,969","9,591",North America
Brazil,"16,188","+2,154",820 ,+134,127,"15,241",296,76,4,"54,824",258,South America
Portugal,"13,141",+699,380 ,+35,196,"12,565",245,"1,289",37,"128,784","12,630",Europe
Austria,"12,942",+303,273 ,+30,"4,512","8,157",267,"1,437",30,"120,755","13,408",Europe
S. Korea,"10,384",+53,200  ,+8,"6,776","3,408",55,203,4,"477,304","9,310",Asia
Israel,"9,404",+156,73 ,+8,801,"8,530",147,"1,086",8,"117,339","13,557",Asia
Russia,"8,672","+1,175",63 ,+5,580,"8,029",8,59,0.4,"910,221","6,237",Europe
Sweden,"8,419",+726,687 ,+96,205,"7,527",678,834,68,"54,700","5,416",Europe
Ireland,"6,074",+365,235 ,+25,25,"5,814",165,"1,230",48,"42,484","8,604",Europe
Australia,"6,052",+64,50 ,+1,"2,813","3,189",87,237,2,"319,784","12,541",Australia/Oceania
Norway,"6,042",,101 ,+12,32,"5,909",78,"1,115",19,"113,896","21,009",Europe
India,"5,916",+565,178 ,+18,506,"5,232",,4,0.1,"167,235",121,Asia
Chile,"5,546",+430,48 ,+5,"1,115","4,383",362,290,3,"60,391","3,159",South America
Denmark,"5,402",+331,218 ,+15,"1,621","3,563",127,933,38,"64,002","11,050",Europe
Czechia,"5,312",+295,99 ,+11,233,"4,980",103,496,9,"98,681","9,215",Europe
Poland,"5,205",+357,159 ,+30,222,"4,824",160,138,4,"99,284","2,623",Europe
Romania,"4,761",+344,220 ,+23,528,"4,013",162,247,11,"47,207","2,454",Europe
Japan,"4,667",+410,94 ,+1,632,"3,941",99,37,0.7,"55,311",437,Asia
Ecuador,"4,450",+455,242 ,+22,140,"4,068",146,252,14,"14,406",817,South America
Peru,"4,342","+1,388",121 ,+14,"1,333","2,888",113,132,4,"39,599","1,201",South America
Pakistan,"4,263",+228,61 ,+4,467,"3,735",25,19,0.3,"42,159",191,Asia
Malaysia,"4,119",+156,65 ,+2,"1,487","2,567",76,127,2,"58,240","1,799",Asia
Philippines,"3,870",+106,182 ,+5,96,"3,592",1,35,2,"24,500",224,Asia
Luxembourg,"3,034",+64,46 ,+2,500,"2,488",34,"4,847",73,"26,573","42,450",Europe
Indonesia,"2,956",+218,240 ,+19,222,"2,494",,11,0.9,"14,354",52,Asia
Saudi Arabia,"2,932",+137,41 ,,631,"2,260",41,84,1,,,Asia
Mexico,"2,785",+346,141 ,+16,633,"2,011",89,22,1,"25,410",197,North America
Serbia,"2,666",+219,65 ,+4,118,"2,483",112,305,7,"10,761","1,232",Europe
UAE,"2,659",+300,12 ,,239,"2,408",1,269,1,"593,095","59,967",Asia
Panama,"2,528",+428,63 ,+8,16,"2,449",101,586,15,"11,776","2,729",North America
Finland,"2,487",+179,40 ,+6,300,"2,147",82,449,7,"36,500","6,588",Europe
Thailand,"2,369",+111,30 ,+3,888,"1,451",61,34,0.4,"71,860","1,030",Asia
Qatar,"2,210",+153,6 ,,178,"2,026",37,767,2,"41,818","14,515",Asia
Dominican Republic,"2,111",+155,108 ,+10,50,"1,953",147,195,10,"4,542",419,North America
Colombia,"2,054",+274,55 ,+5,123,"1,876",76,40,1,"33,575",660,South America
Greece,"1,884",+52,83 ,+2,269,"1,532",84,181,8,"32,528","3,121",Europe
South Africa,"1,845",+96,18 ,+5,95,"1,732",7,31,0.3,"63,776","1,075",Africa
Argentina,"1,795",+80,65 ,+5,358,"1,372",96,40,1,"13,330",295,South America
Ukraine,"1,668",+206,52 ,+7,35,"1,581",33,38,1,"7,205",165,Europe
Singapore,"1,623",+142,6 ,,406,"1,211",29,277,1,"65,000","11,110",Asia
Iceland,"1,616",+30,6 ,,633,977,13,"4,736",18,"30,947","90,689",Europe
Algeria,"1,572",+104,205 ,+12,237,"1,130",46,36,5,"3,359",77,Africa
Egypt,"1,560",+110,103 ,+9,305,"1,152",,15,1,"25,000",244,Africa
Croatia,"1,343",+61,19 ,+1,179,"1,145",36,327,5,"13,125","3,197",Europe
Morocco,"1,275",+91,93 ,+3,97,"1,085",1,35,3,"5,752",156,Africa
New Zealand,"1,210",+50,1 ,,282,927,4,251,0.2,"46,875","9,721",Australia/Oceania
Iraq,"1,202",+80,69 ,+4,452,681,,30,2,"28,414",706,Asia
Estonia,"1,185",+36,24 ,+3,72,"1,089",11,893,18,"24,813","18,705",Europe
Moldova,"1,174",+118,27 ,+5,40,"1,107",80,291,7,"5,108","1,266",Europe
Slovenia,"1,091",+32,40 ,+4,120,931,35,525,19,"30,669","14,752",Europe
Belarus,"1,066",+205,13 ,,77,976,33,113,1,"46,000","4,868",Europe
Hong Kong,961,+25,4 ,,264,693,14,128,0.5,"96,709","12,900",Asia
Lithuania,912,+32,15 ,,8,889,21,335,6,"30,108","11,060",Europe
Hungary,895,+78,58 ,+11,94,743,17,93,6,"25,748","2,665",Europe
Armenia,881,+28,9 ,+1,114,758,30,297,3,"5,452","1,840",Asia
Kuwait,855,+112,1 ,,111,743,21,200,0.2,,,Asia
Bahrain,823,+12,5 ,,477,341,3,484,3,"52,351","30,766",Asia
Azerbaijan,822,+105,8 ,,63,751,23,81,0.8,"53,300","5,257",Asia
Bosnia and Herzegovina,804,+40,34 ,+1,79,691,4,245,10,"6,911","2,106",Europe
Cameroon,730,+45,10 ,+1,60,660,,27,0.4,,,Africa
Kazakhstan,727,+30,7 ,+1,54,666,21,39,0.4,"56,775","3,024",Asia
